                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7637,                 5.4745,                 1.1022,                0.48335,                0.24914,                0.25366,                0.13499,                 1.5472,                  2.308,                 1.0347,             0.00010074,             0.00010074,             0.00010074
                      2,                 1.6339,                  3.331,                  1.068,                0.57413,                0.48971,                0.48674,                 0.2771,                 1.4402,                 1.6573,                 1.0284,             0.00019774,             0.00019774,             0.00019774
                      3,                 1.5661,                 2.4101,                 1.0636,                0.69354,                0.58468,                0.63626,                0.34593,                 1.4383,                 1.4045,                  1.046,             0.00029075,             0.00029075,             0.00029075
                      4,                 1.5034,                 1.8608,                 1.0457,                0.73585,                 0.6655,                 0.7419,                0.42898,                 1.3523,                 1.1406,                 1.0168,               0.000285,               0.000285,               0.000285
                      5,                 1.4464,                 1.5317,                 1.0358,                0.74896,                 0.7674,                0.77977,                 0.4426,                 1.3536,                  1.052,                 1.0148,               0.000285,               0.000285,               0.000285
                      6,                 1.4587,                 1.3374,                 1.0361,                0.76158,                0.76725,                0.81712,                0.46892,                 1.3297,                 1.0089,                 1.0091,               0.000279,               0.000279,               0.000279
                      7,                 1.4159,                 1.1754,                 1.0263,                0.85505,                0.80495,                0.86122,                0.51191,                 1.3211,                0.89072,                 1.0038,               0.000273,               0.000273,               0.000273
                      8,                 1.3932,                 1.0756,                 1.0175,                0.86741,                0.78396,                0.84897,                0.49837,                 1.3441,                0.88973,                 1.0114,               0.000267,               0.000267,               0.000267
                      9,                  1.371,                 1.0238,                 1.0136,                0.83012,                0.84516,                0.86609,                0.51277,                 1.3034,                0.86258,                0.98651,               0.000261,               0.000261,               0.000261
                     10,                 1.3682,                0.96276,                  1.004,                0.79142,                0.84948,                0.87267,                0.51368,                  1.297,                0.81522,                0.99425,               0.000255,               0.000255,               0.000255
                     11,                   1.36,                 0.9151,                 1.0018,                0.82998,                0.83779,                0.86955,                0.51204,                 1.3219,                0.83324,                0.99025,             0.00024901,             0.00024901,             0.00024901
                     12,                 1.3393,                0.87905,                0.99975,                0.82655,                0.87181,                0.88004,                0.52896,                 1.2607,                0.78776,                 0.9805,             0.00024301,             0.00024301,             0.00024301
                     13,                 1.3135,                0.85415,                0.99159,                0.83825,                0.88557,                0.89505,                0.52713,                  1.303,                0.75969,                0.98689,             0.00023701,             0.00023701,             0.00023701
                     14,                 1.3086,                0.81369,                0.98972,                 0.7916,                0.87687,                0.87728,                0.52313,                 1.3214,                0.76835,                0.99013,             0.00023101,             0.00023101,             0.00023101
                     15,                 1.3041,                0.79796,                0.98456,                0.81639,                0.90314,                0.90384,                0.53873,                 1.2837,                 0.7408,                0.97976,             0.00022501,             0.00022501,             0.00022501
                     16,                 1.2875,                0.77014,                0.98307,                0.83657,                0.87649,                0.89983,                0.54761,                 1.2852,                0.71594,                 0.9817,             0.00021901,             0.00021901,             0.00021901
                     17,                 1.2854,                 0.7581,                0.97821,                0.82512,                0.88078,                0.89607,                  0.551,                 1.2493,                0.71153,                0.97781,             0.00021301,             0.00021301,             0.00021301
                     18,                 1.2675,                0.74311,                 0.9792,                0.83128,                0.84962,                0.89066,                0.53007,                 1.2912,                0.72174,                0.97882,             0.00020701,             0.00020701,             0.00020701
                     19,                 1.2887,                0.74137,                0.97669,                0.85017,                0.91952,                0.91198,                0.55166,                 1.2764,                0.69357,                0.98089,             0.00020101,             0.00020101,             0.00020101
                     20,                 1.2595,                 0.7188,                0.97513,                0.83282,                0.88134,                0.89777,                0.55786,                 1.2247,                0.68456,                0.96345,             0.00019501,             0.00019501,             0.00019501
                     21,                 1.2522,                0.70546,                0.96752,                0.84825,                0.87129,                0.90239,                 0.5557,                 1.2689,                0.69006,                0.97442,             0.00018901,             0.00018901,             0.00018901
                     22,                 1.2362,                0.69082,                0.96258,                0.83808,                0.88805,                0.90276,                0.53853,                 1.2736,                0.67848,                0.97351,             0.00018301,             0.00018301,             0.00018301
                     23,                 1.2325,                0.68696,                0.96193,                0.81821,                0.89902,                0.90319,                0.55524,                 1.2493,                0.66243,                0.96652,             0.00017701,             0.00017701,             0.00017701
                     24,                 1.2338,                0.67955,                0.96013,                 0.8402,                0.90573,                0.91702,                0.56083,                 1.2534,                0.67117,                0.96701,             0.00017101,             0.00017101,             0.00017101
                     25,                 1.2127,                0.65889,                0.95397,                0.89327,                 0.8686,                0.90435,                0.54605,                 1.2525,                0.66034,                0.96889,             0.00016501,             0.00016501,             0.00016501
                     26,                 1.1997,                0.65669,                 0.9534,                0.84889,                0.91684,                0.90887,                0.56459,                 1.2378,                0.65088,                0.96661,             0.00015901,             0.00015901,             0.00015901
                     27,                 1.2009,                0.64714,                0.95525,                0.84478,                0.91342,                0.90619,                0.57259,                 1.2163,                0.65542,                0.96325,             0.00015301,             0.00015301,             0.00015301
